claim,source,claimed_status,actual_status,evidence,discrepancy,severity,correct_status
"V1 phases 1-3 advanced to PASS","PR #126 / STATUS.md","PASS","CODE_ONLY","merge 0ef6bbd changed docs only (CHANGELOG/HANDOFF/STATUS/V1_STATUS/DARK_CODE_INVENTORY) no code; phase gates V1_STAGING_READY/V1_BENCHMARK_PAID_ENABLED both absent","'PASS' is a doc-state flip not a tested-or-staged result",P3,UNVERIFIED
"real-doc benchmark 0 fabricated critical fields","PR #128 / benchmark.json","PASS / 0 fabricated","PROVEN_LOCAL (narrow) / UNVERIFIED","benchmark.json environment=local-dev not prod; covers only 3 doc types (ead/internal-passport/i94); critical fields EMPTY (EAD DOB, passport patronymic/DOB); CI v1-document-benchmark.yml dry-runs exit 0; ANTI_FABRICATION_GATE default OFF","EMPTY field counted as 'not fabricated'; absence sold as accuracy; never ran in CI/prod",P1,UNVERIFIED
"I-821/I-131/I-765 PDF readback 3/3 PASS","PR #128 benchmark.json","3/3 PASS","PROVEN_LOCAL (via PR #116, synthetic inputs)","#128 merge 840a069 changed only 4 files (CHANGELOG/HANDOFF/STATUS + 1 JSON literal); real tests added in #116 (1d2bf41); 46 tests re-run green on SYNTHETIC fields; no real doc, no visual diff","#128 'PASS' is a hand-authored JSON string not executable evidence; real proof predates and is synthetic-only",P3,PROVEN_LOCAL
"server PII ledger backend complete","PR #130","#9 backend complete","PROVEN_LOCAL","wizardDraftCrypto/store + /api/wizard-draft + migration 20260614010000 real + tests; applied to prod but 0 rows","backend genuinely built and unit/route tested; 'complete' OK at backend layer only",P3,PROVEN_LOCAL
"server PII ledger proven E2E","PR #132","proven E2E","PROVEN_MOCKED","route.itest sets SERVER_LEDGER_ENABLED=1 + WIZARD_DRAFT_ENC_KEY IN TEST PROCESS; prod env lacks both -> /api/wizard-draft returns 404; wizard_drafts 0 rows","route tested in ISOLATION not via a live wizard; no prod encrypt/decrypt round-trip; 'E2E' overclaims",P2,PROVEN_MOCKED
"TPS wizard wired to server ledger","PR #133","wired (ready-not-verified-live)","NOT_WIRED","#133 wired saveDraftToServer into GeneratePacketBlock.tsx which has 0 importers (orphan/DEAD_CODE); live TPSWizardV2.tsx not ledger-aware (writes localStorage:1848); reparole/ead/translation zero wiring","wired into a never-mounted component; live wizard untouched; product cannot use ledger even if flag ON",P1,NOT_WIRED
"OCR cache complete (immutable cache)","PR #127","phase-4 cache half complete","CODE_ONLY","lib/v1/ocrCache*+cachedBudgetedProvider real+tested but grep shows ZERO non-test importers; real OCR routes call providers directly no cache lookup","library merged green never connected to any OCR caller",P2,NOT_WIRED
"budget caps live on paid OCR paths","PR #127","fail-closed budget live","NOT_WIRED","providerBudget DEFAULT_BUDGET fail-closed only inside cachedBudgetedCall which prod never calls; header says 'chokepoint during benchmarks'; prod OCR no cap/kill-switch/dedupe; TPS up to 3 paid calls/upload","budget protects benchmark harness only; live spend uncapped",P2,NOT_WIRED
"staging control plane ready","PR #124","STAGING_CONTROL_PLANE ready","NOT_BUILT","list_projects returns exactly ONE Supabase project; v1-nightly-staging.yml + v1-document-benchmark.yml exit 0 dry-run because V1_STAGING_READY not true ('until dedicated staging exists')","control-plane doc exists but the staging environment it controls does not",P2,NOT_BUILT
"dedicated staging environment ready","STATUS/control-plane","ready","NOT_BUILT","one Supabase project shared prod+preview+dev; SUPABASE_SERVICE_ROLE_KEY set for all three envs; no *_TEST Stripe variant","no isolation; preview/dev hit prod DB with prod service-role key",P1,NOT_BUILT
"Translation V2 ready to merge","PR #119","9/9 invariants PASS + security review PASS, frozen","CODE_ONLY","51 new files +7801/-60; 6 ahead/13 behind main; missing #122 security fix; .live.test files hit prod DB out-of-CI; translation_orders_v2/document_artifacts/delivery_outbox/stripe_processed_events all 0 rows","PASS self-reported on frozen stale branch; pipeline never processed a real order; would regress #122 if merged as-is",P1,CODE_ONLY
"production healthy","STATUS / healthz","healthy sha 62c897a","PROVEN_PRODUCTION (sha differs)","GET /api/healthz status=ok environment=production sha=02eb595","health endpoint green; STATUS sha 62c897a is stale (live=02eb595)",P3,PROVEN_PRODUCTION
"all user paths work end to end","STATUS / RELEASE_STATE","working","PARTIAL","TPS read+payment PROVEN_PRODUCTION; Translation to operator queue PROVEN_PRODUCTION; Re-Parole BROKEN payment gate; EAD CODE_ONLY; no product has automated paid->download E2E; generated_packets 0 rows","positive paid auto-delivery E2E UNVERIFIED for every product per RELEASE_STATE itself",P2,PARTIAL
"rollback proven","STATUS / release-state","proven","UNVERIFIED","Vercel redeploy-previous is standard but no documented one-click runbook; migrations forward-only/immutable-trigger guarded; no down-migrations; no DR/restore runbook","rollback mechanism plausible but never exercised/documented; data writes not reversible by design",P2,UNVERIFIED
"browser-persisted PII removed","PR #120","PII minimization / containment","PARTIAL","persistedDraftPolicy.ts comment lines 62-63: value + raw_cyrillic REMAIN in browser; policy drops evidence/raw/confidence + TTL + clear-on-completion; server ledger (full removal) inert flag OFF 0 rows","#120 minimizes not removes; ledger does not replace it (orphan-wired, OFF); applicant names/DOB/raw still in localStorage",P2,PARTIAL
"operator auth + Stripe recipient re-verify","PR #122","hardened","PROVEN_LOCAL","requireTranslationOperator/requireAdminAuth auth-first; resolveVerifiedRecipient re-resolves recipient from Stripe; client email ignored; fail-closed; masked/never-logged; 21 tests","genuinely strong; only gap is shared-secret/no-per-operator-identity (P2) and not constant-time compare (P3)",P3,PROVEN_LOCAL
"canonical override is authoritative source of truth","CANONICAL design / ADR-017","authoritative","NOT_WIRED","/api/canonical/[id]/override (360 ln, correct 409 concurrency) has ZERO UI callers; canonical_overrides 0 rows; real correction path is legacy correct-field/confirm-field writing user_corrections (10 rows)","override loop never runs in prod; 'canonical authoritative' is false; enforce-flip would be unsafe",P1,NOT_WIRED
"ONE Document Core / one brain (ADR-017)","ADR-017 / STATUS","one core live","DEAD_CODE (the canonical one)","live brain = lib/docintel/documentFieldReader.ts (all 4 routes import it); lib/canonical/core/readDocumentCore.ts + central-brain + oneBrain/decideField have zero non-test importers","two cores exist; the canonical 'one brain' reader is dead; docintel is the real one",P3,DEAD_CODE
"prod DB schema matches main migrations","implicit / repo","matches","BROKEN (drift)","4 migrations (translation_orders_v2, artifacts/outbox, widen_canonical_guards, stripe_processed_events) APPLIED to prod per list_migrations but .sql absent from main, present only in frozen #119","prod schema ahead of main; widen_canonical_guards alters LIVE canonical guards; reconstructing from main misses tables",P1,UNVERIFIED
