path,category,runtime_used,products,entry_points,imports,tests,feature_flag,default_state,prod_state,pii,paid_provider,legacy,duplicate,risk,recommended_action,evidence
apps/web/src/lib/docintel/documentFieldReader.ts,real-document-core,yes,"tps,reparole,ead,translation",4 OCR routes,gemini/docai providers+orientation+dateRoleGuard+transliterationPolicy+patronymicReconcile+authorityResolve+antiFabricationGate+selfConsistency,unit,none,on,PROVEN_PRODUCTION,no,gemini,no,no,P3,KEEP — this is the live brain,"4 product routes import readDocument; tps_ocr_audit=668 rows"
apps/web/src/lib/canonical/core/readDocumentCore.ts,parallel-core,no,none,none,arbitration,core.test+realDocGate.live,none,off,DEAD_CODE,no,no,no,yes(dupes docintel reader),P3,DELETE or document as reference-only,"0 real importers; only doc-comment refs in mrzAuthority:291"
apps/web/src/lib/canonical/core/arbitration.ts,parallel-core,no,none,none(only readDocumentCore which is dead),core tests,none,off,DEAD_CODE,no,no,no,yes,P3,DELETE with readDocumentCore,"only importer is dead readDocumentCore"
apps/web/src/lib/central-brain/,brain,no,none,central-brain/health route only,self+health,health test,none,off,DEAD_CODE,no,no,yes,no,P3,DELETE,"only importer is api/central-brain/health; TranslateWizard ref is a comment"
apps/web/src/lib/docintel/oneBrain/decideField.ts,brain,no,none,none,arbitration,unit,none,off,DEAD_CODE,no,no,no,no,P3,DELETE,"grep oneBrain/decideField = 0 importers"
apps/web/src/lib/canonical/core/tpsAdapter.ts,adapter,yes,tps,tps/ocr/extract,fieldAccessor+arbitration types,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"tps route:288 canonicalToTpsModuleResult"
apps/web/src/lib/canonical/core/translationAdapter.ts,adapter,yes,"translation,ead,reparole,tps",4 routes,fieldAccessor,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"imported by 4 routes"
apps/web/src/lib/canonical/core/reParoleAdapter.ts,adapter,yes,reparole,reparole/ocr/extract,fieldAccessor,unit,none,on,CODE_ONLY,no,no,no,no,P3,KEEP,"reparole route; 1 canonical_documents row"
apps/web/src/lib/canonical/core/eadAdapter.ts,adapter,yes,ead,ead/ocr/extract,fieldAccessor,unit,none,on,CODE_ONLY,no,no,no,no,P3,KEEP,"ead route; 2 canonical_documents rows"
apps/web/src/lib/canonical/core/fieldAccessor.ts,c3-release-gate,yes,"tps,ead,reparole,translation",PDF mappers,—,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P2,KEEP — C3 release authority,"7 importers incl lib/packet/pdf.ts,i821/i765 mappers,buildMirrorValues"
apps/web/src/lib/canonical/core/buildCanonicalResult.ts,canonical-build,yes,"tps,translation",extract routes,—,unit,CANONICAL_MODE_*,shadow,PARTIAL,no,no,no,no,P2,KEEP,"tps route:296; translation vision-extract:301,449"
apps/web/src/lib/canonical/persistence/index.ts,persistence,yes,"tps,reparole,ead,translation",extract+generate routes,—,persistence tests,CANONICAL_MODE_*,shadow,PARTIAL,no(hashes only),no,no,no,P2,KEEP,"11 importers; canonical_documents=24 rows; INSERT-only+immutability triggers"
apps/web/src/lib/canonical/continuityMode.ts,flag-resolver,yes,all,extract+generate routes,—,unit,CANONICAL_MODE_*,shadow,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"default shadow:55; legacy global clamped to shadow:52"
apps/web/src/app/api/canonical/[id]/override/route.ts,canonical-override,no(orphan),none,NO UI caller,appendCanonicalOverride,override tests,none,on,NOT_WIRED,yes(override_value),no,no,no,P1,WIRE or document as future,"0 UI callers (grep api/canonical=none); canonical_overrides=0 rows"
apps/web/src/lib/canonical/audit/independentCrossProductAudit.ts,audit-tool,no,none,none,all adapters,test,none,off,DEAD_CODE,no,no,no,no,P3,DELETE or move to scripts,"0 runtime importers"
apps/web/src/app/api/tps/ocr/extract/route.ts,product-route,yes,tps,/api/tps/ocr/extract,readDocument+adapters+persistence,route itest,CANONICAL_MODE_TPS,shadow,PROVEN_PRODUCTION,yes,gemini/docai,no,no,P2,KEEP,"tps_ocr_audit=668 rows"
apps/web/src/app/api/tps/generate-packet/route.ts,product-route,yes,tps,/api/tps/generate-packet,packetBuilder+pdf,unit,none,on,PARTIAL,yes,no,no,no,P2,KEEP,"server payment gate x-payment-token:109; generated_packets=0 rows"
apps/web/src/app/api/reparole/generate-packet/route.ts,product-route,yes,reparole,/api/reparole/generate-packet,packetBuilder,unit,none,on,BROKEN,yes,no,no,no,P1,ADD server payment gate,"NO x-payment-token/Stripe verify; paid product $15; ?paid=1 client-only"
apps/web/src/app/api/ead/generate-packet/route.ts,product-route,yes,ead,/api/ead/generate-packet,packetBuilder,unit,none,on,CODE_ONLY,yes,no,no,no,P3,KEEP,"free-by-design (docstring:7); only 403 CANONICAL_SESSION_MISMATCH guard"
apps/web/src/app/api/translation/vision-extract/route.ts,product-route,yes,translation,/api/translation/vision-extract,readDocument+translationAdapter+persistence,unit,CANONICAL_MODE_TRANSLATION,shadow,PROVEN_PRODUCTION,yes,gemini,no,no(dup canonical build :301+:449),P3,KEEP — dedupe double persist,"extracted_fields=138 rows; double buildCanonicalResult"
apps/web/src/app/api/translation/submit-order/route.ts,product-route,yes,translation,/api/translation/submit-order,verifyStripeSessionPaid+manual_review_queue+email,unit,none,on,PROVEN_PRODUCTION,yes,stripe,no,no,P2,KEEP,"manual_review_queue=5; Stripe-verified recipient PR#122"
apps/web/src/lib/v1/wizardDraftStore.ts,v1-pii-ledger,gated,tps(wired),wizard-draft route,wizardDraftCrypto,store test,SERVER_LEDGER_ENABLED,off,NOT_WIRED,yes(encrypted),no,no,no,P2,KEEP behind flag,"wizard_drafts=0 rows; flag off in prod"
apps/web/src/lib/v1/wizardDraftCrypto.ts,v1-crypto,gated,tps,wizardDraftStore,crypto test,SERVER_LEDGER_ENABLED,off,PROVEN_LOCAL,yes(AES-256-GCM),no,no,no,P3,KEEP,"AES-256-GCM fail-closed; unit proven"
apps/web/src/lib/v1/wizardLedgerClient.ts,v1-client,gated,tps,GeneratePacketBlock.tsx,—,client test,NEXT_PUBLIC_SERVER_LEDGER_ENABLED,off,NOT_WIRED,yes,no,no,no,P3,KEEP behind flag,"wired in GeneratePacketBlock:23-26 but flag off"
apps/web/src/lib/v1/ocrCache.ts,v1-cache,no,none(built not wired),none,ocrCacheStore,cache test,none,off,CODE_ONLY,no,no,no,no,P2,WIRE to OCR routes or mark deferred,"PR#127; no route imports it"
apps/web/src/lib/v1/providerBudget.ts,v1-budget,no,none,none,—,budget test,none,off,CODE_ONLY,no,no,no,no,P2,WIRE or deferred,"PR#127 fail-closed budget; not wired to live providers"
apps/web/src/lib/v1/cachedBudgetedProvider.ts,v1-provider-wrap,no,none,none,ocrCache+providerBudget,test,none,off,CODE_ONLY,no,gemini,no,no,P2,WIRE or deferred,"wraps provider but no route uses it"
apps/web/src/lib/docintel/mrzAuthority.ts(canonical/core),mrz-authority,yes,"tps,reparole,translation",3 OCR routes,—,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"3 routes import mrzCandidatesFromText"
apps/web/src/lib/tps/centralBrain.ts,tps-translation,yes,tps,tps/translation routes,arbitration types,unit,none,on,CODE_ONLY,no,deepseek,no,no,P3,KEEP,"used by tps/translation/preview+brain/merge+translationExtractor"
supabase/migrations/2026061400000{1-4}(V2),migration,APPLIED-to-prod-only,translation-v2,—,—,live tests,none,—,UNVERIFIED-DRIFT,no,no,no,no,P1,RECONCILE — files only in PR#119 not main,"prod DB has translation_orders_v2/document_artifacts/delivery_outbox/stripe_processed_events; .sql not in main"
