id,topic,question,question_variants,short_answer,full_answer,risk_level,official_source_urls,related_pain_points,related_misinformation
faq-001-tps-ead-deadline,tps,"When does my TPS EAD expire?","When does my work permit expire | EAD valid until when | TPS work auth date","TPS Ukraine designation extends to October 19 2026 but EAD auto-extension is capped at July 22 2026. Check your specific EAD card for the printed date and your category code.","Two dates matter for TPS Ukraine. The TPS designation period runs through October 19 2026 — this is when TPS protection from removal ends. The EAD auto-extension is separate and only extends through July 22 2026. After July 22 2026 you must have an approved new EAD application or your work authorization ends. Verify both dates against the Federal Register notice and your specific EAD card.",critical,"https://www.federalregister.gov/documents/2025/01/17/2025-00771/|https://www.uscis.gov/humanitarian/temporary-protected-status/temporary-protected-status-designated-country-ukraine",tps-ead-deadline-july-22-2026|i9-employer-reverification-confusion,tps-extension-equals-ead-extension
faq-002-can-i-work-now,ead,"Can I work right now?","Am I authorized to work | Can I get a job | Work authorization yes or no","It depends on your specific status. Re-parole alone does not authorize work. Only an EAD card or specific status (TPS with valid EAD) authorizes employment.","Work authorization in the US requires either an EAD card or a status that includes employment authorization incident to status. Re-parole grants presence authorization only — you cannot work just because you have re-parole. TPS holders can work only while their EAD or auto-extension is valid. Always verify your specific category and dates against USCIS guidance. If unsure consult a licensed immigration attorney before starting employment.",critical,"https://www.uscis.gov/i-765|https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-274a/subpart-B/section-274a.12",work-on-i94-without-ead-chatgpt-misinfo|reparole-ead-denied,work-on-reparole-without-ead|chatgpt-immigration-advice-reliable
faq-003-how-file-reparole,re-parole,"How do I file for re-parole?","File re-parole | Submit re-parole | Apply for re-parole","File Form I-131 with USCIS. Since August 2025 you must include personal evidence (medical/family/employment) — not just general country conditions. Include your original Travel Authorization document and the filing fee or I-912 fee waiver request.","Re-parole filing under Uniting for Ukraine uses Form I-131. The 2025 policy update requires personal evidence specific to your situation: medical records family ties employment proof. General statements about war in Ukraine are no longer sufficient. Attach your original Travel Authorization document. Include either the filing fee or Form I-912 if requesting fee waiver. Verify current edition of I-131 at USCIS website before filing.",high,"https://www.uscis.gov/i-131|https://www.uscis.gov/humanitarian/uniting-for-ukraine",reparole-form-only-insufficient-2026|i131-box-10c-vs-other,reparole-form-only-sufficient
faq-004-reparole-evidence,re-parole,"What evidence do I need for re-parole?","Re-parole proof requirements | Re-parole supporting documents | What papers for re-parole","USCIS expects personal evidence supporting your continued need for parole — medical records family responsibilities employment proof — not just general references to country conditions.","As of August 2025 USCIS expects re-parole filings to include personal evidence: medical conditions requiring continued US treatment family members in the US dependent on you employment proof showing US ties documentation of any specific risk you face if returned. General country conditions evidence remains useful but is no longer sufficient on its own. Form I-131 instructions describe required initial evidence in detail.",high,"https://www.uscis.gov/i-131|https://www.uscis.gov/humanitarian/uniting-for-ukraine",reparole-form-only-insufficient-2026,reparole-form-only-sufficient
faq-005-payment-not-recognized,payment,"My USCIS payment is not showing what should I do?","Paid USCIS but case shows unpaid | USCIS payment problem | Money taken but no case","First confirm the charge on your bank statement. Then check your USCIS online account at my.uscis.gov for payment status. If discrepancy persists do not pay again — contact USCIS Contact Center with your bank statement showing the charge.","Payment processing issues are a documented systemic problem at USCIS. Step 1: confirm the charge cleared your bank with a statement. Step 2: log into my.uscis.gov to verify what USCIS records show. Step 3: if your bank shows the charge but USCIS shows unpaid do NOT submit a duplicate payment. Step 4: contact USCIS Contact Center with your bank statement and any payment confirmation. Save all documentation. Filing an inquiry creates a written record you can reference if needed.",critical,"https://my.uscis.gov/|https://www.uscis.gov/contactcenter",uscis-payment-not-recognized,
faq-006-reparole-processing-time,re-parole,"How long does re-parole take?","Re-parole processing time | When will re-parole be approved | Re-parole wait","Processing times vary by service center and case complexity. Check current USCIS published processing times. Filing receipts arrive within ~30 days; adjudication can take several months.","USCIS publishes current processing times on its website. Times vary by service center caseload and case complexity. After filing expect a receipt notice within ~30 days confirming USCIS received your application. Adjudication typically takes several months. Biometrics may be scheduled in the interim. Never rely on community estimates — only USCIS published times are authoritative.",medium,https://egov.uscis.gov/processing-times/,parole-expires-with-only-receipt,receipt-equals-approval
faq-007-biometrics-purpose,biometrics,"What is biometrics for?","Biometrics meaning | Why biometrics appointment | What happens at biometrics","Biometrics involves taking your fingerprints photo and signature for FBI background checks. Standard part of most USCIS applications.","USCIS uses biometrics (fingerprints photograph and signature) for FBI background and identity verification. After filing you'll receive a biometrics appointment notice with date time and location. Bring the appointment notice and a government-issued photo ID. The appointment typically takes 15-30 minutes. Missing the appointment without rescheduling can lead to case denial under abandonment grounds.",low,"https://www.uscis.gov/forms/all-forms/preparing-for-your-biometric-services-appointment|https://www.uscis.gov/forms/filing-fees/biometric-services-fee",biometrics-no-show-denial|biometrics-bring-wrong-id,biometrics-no-show-no-consequence
faq-008-tps-travel,tps,"Can I travel on TPS?","International travel TPS | Leaving country with TPS | Travel abroad TPS","TPS does not include travel authorization. To travel internationally apply for Advance Parole (Form I-131) BEFORE leaving. Leaving without it = TPS abandonment.","TPS protects you from removal and grants work authorization but does NOT authorize international travel. To travel and return you must apply for Advance Parole using Form I-131 and have it approved BEFORE leaving the US. Departing without Advance Parole is treated as abandonment of TPS — you may be barred from reentry. Plan travel applications well in advance because Advance Parole adjudication takes months.",critical,"https://www.uscis.gov/humanitarian/temporary-protected-status|https://www.uscis.gov/i-131",travel-on-tps-without-advance-parole,tps-allows-international-travel
faq-009-after-october-2026,tps,"What happens after October 2026 (TPS expiry)?","TPS ending October 2026 | TPS not renewed | Plan after TPS","If TPS Ukraine is not extended past October 19 2026 you lose TPS protection and EAD. Plan transition pathways now: asylum (1-year deadline) family-based or employment-based.","Under current administration no country with expired TPS has been renewed. Plan as if October 19 2026 is hard deadline. Transition pathways: (1) Asylum I-589 — must file within 1 year of last arrival in US with limited exceptions; (2) Family-based — if you have qualifying US citizen or LPR relative; (3) Employment-based — if you have qualifying job and sponsor; (4) Other humanitarian programs — VAWA U-visa T-visa for specific situations. Consult a licensed immigration attorney to evaluate your options before October 2026.",critical,"https://www.uscis.gov/humanitarian/temporary-protected-status|https://www.uscis.gov/i-589",tps-october-19-2026-no-renewal|asylum-1-year-filing-deadline,asylum-can-file-anytime
faq-010-expedite-case,case-status,"How do I expedite my case?","Speed up USCIS | Emergency processing | Urgent case","USCIS expedite criteria are narrow: severe financial loss to a company or person urgent humanitarian reasons nonprofit furthering US cultural or social interests USCIS error or compelling US government interests. Submit a written request via USCIS Contact Center.","Expedite requests are granted only in narrow circumstances. Eligibility includes: severe financial loss to a US company or person urgent humanitarian reasons (medical emergencies imminent risk) nonprofit organization furthering US cultural or social interests USCIS error or compelling US government interests. To request expedite contact USCIS Contact Center and provide written documentation. Most expedite requests are denied. Routine processing concerns do not qualify.",medium,"https://www.uscis.gov/forms/filing-guidance/how-to-make-an-expedite-request|https://www.uscis.gov/contactcenter",,
faq-011-rfe-deadline,rfe,"How long do I have to respond to an RFE?","RFE deadline | RFE time limit | When RFE due","Response deadline is printed on your RFE letter — typically 30 to 87 days from issue date. Missing deadline = case denial.","Every RFE letter from USCIS has a response deadline printed on it (typically 30-87 days from the date USCIS issued it). Calculate from the ISSUE date not the date you received the letter. Missing the deadline almost always results in case denial. If you need additional time you can request an extension but must do so before the deadline. Save copy of your RFE response with proof of mailing.",critical,https://www.uscis.gov/policy-manual/volume-1-part-e-chapter-6,rfe-misread-deadline,
faq-012-find-i94,i94,"Where do I find my I-94?","Get my I-94 | Retrieve I-94 | I-94 record online","Most I-94 records are electronic at i94.cbp.dhs.gov. Enter your name DOB passport country and number to retrieve.","CBP issues I-94 records electronically for most arrivals. Visit i94.cbp.dhs.gov and enter your name date of birth passport country and passport number. The system retrieves your most recent I-94. If your I-94 cannot be found there may be an error in CBP records — file an I-94 correction request with CBP. Note: USCIS does NOT issue or correct I-94s. CBP is the issuing agency.",low,https://i94.cbp.dhs.gov/,i94-not-retrieved-before-filing,i94-missing-means-illegal
faq-013-translation-requirements,translation,"How do I translate documents for USCIS?","Translate USCIS documents | Document translation requirement | Translator certification","USCIS requires English translation with translator competency certification per 8 CFR 103.2(b)(3) for any foreign-language document submitted.","8 CFR 103.2(b)(3) requires every foreign-language document submitted to USCIS to include a complete English translation AND a translator's certificate of competence. Certificate must state translator's competence and that translation is accurate. Self-translation is technically allowed but commonly questioned. For important filings consider professional translation services or DOJ-accredited translators. This page does not create a certified translation.",medium,https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-103/section-103.2,translation-self-certified-rejected,self-translation-always-rejected
faq-014-receipt-format,case-status,"What does my receipt number look like?","USCIS receipt number format | What is my receipt | Case number format","13 characters: 3 letters (EAC WAC LIN SRC NBC MSC or IOE) followed by 10 digits. No spaces or dashes when entering on USCIS portal.","USCIS receipt numbers are 13 characters: 3 letters indicating service center followed by 10 digits. Service center prefixes: EAC=Eastern (Vermont) WAC=Western (California) LIN=Lincoln (Nebraska) SRC=Southern (Texas) NBC=National Benefits Center MSC=Missouri Service Center IOE=USCIS ELIS (electronic — most common today). Enter without spaces or dashes when checking status at egov.uscis.gov.",low,https://egov.uscis.gov/,case-status-receipt-format-confusion,
faq-015-fee-waiver-eligibility,payment,"Can I get a fee waiver?","I-912 eligibility | Fee waiver who qualifies | Free filing","Fee waiver via Form I-912 available if you receive means-tested benefit OR your household income is at or below 150% federal poverty line OR you have financial hardship. Document each ground specifically.","Form I-912 fee waiver requires meeting one of three grounds: (1) you (or spouse or head of household) receive means-tested benefit (Medicaid SNAP TANF SSI); (2) household income at or below 150% Federal Poverty Guidelines (HHS); (3) financial hardship — provide income expenses and explain hardship. Must include specific documentation: benefit letters tax returns paystubs medical bills. Generic statements rejected. Not all forms accept fee waivers — check form's instructions.",high,"https://www.uscis.gov/i-912|https://www.uscis.gov/forms/filing-fees",i912-evidence-insufficient,
faq-016-ead-renewal-when,ead,"When should I renew my EAD?","EAD renewal timing | When to file I-765 again | Avoid EAD gap","File EAD renewal at least 180 days before current EAD expires. Filing later may cause employment gap if processing delays.","USCIS recommends filing EAD renewal (Form I-765) at least 180 days (6 months) before current EAD expires. Some categories qualify for automatic extension up to 540 days while renewal pending. Filing closer to expiry risks employment gap if USCIS processing is delayed. Confirm your category is eligible for auto-extension before relying on it.",high,https://www.uscis.gov/working-in-the-united-states/temporary-workers/automatic-employment-authorization-document-extension,ead-late-renewal-employment-gap,
faq-017-asylum-deadline,asylum,"When can I file for asylum?","Asylum 1-year rule | Asylum filing deadline | I-589 timeline","Within 1 year of your last arrival in the US. Limited exceptions exist for changed circumstances or extraordinary circumstances.","I-589 asylum applications must generally be filed within 1 year of your last arrival in the US. Two exceptions: (1) Changed circumstances materially affecting your eligibility; (2) Extraordinary circumstances directly related to delay. Both exceptions are narrowly construed by USCIS and immigration courts. If you are in TPS or parole status the 1-year clock still runs from arrival. Consult an attorney before filing late.",critical,https://www.uscis.gov/i-589,asylum-1-year-filing-deadline|asylum-pro-se-denial-rate,asylum-can-file-anytime
faq-018-ar11-required,address,"Do I need to file AR-11 when I move?","Address change USCIS | AR-11 mandatory | Update address","Yes within 10 days of moving. 8 USC 1305 requires it. Free filing. Filing AR-11 does NOT update address on each pending case — that is separate.","Federal law (8 USC 1305) requires non-US citizens to report any change of address to USCIS within 10 days of moving. File Form AR-11 — free and online. Critical: AR-11 alone does NOT update your address on individual pending cases. Each case requires separate address update through your USCIS online account or service center. Failure to file AR-11 can be a criminal misdemeanor and grounds for removal.",high,https://www.uscis.gov/ar-11,ar11-deadline-10-days|applicant-info-update-after-filing,ar11-not-required-for-active-cases
faq-019-ead-category-code,ead,"What category code do I use on I-765?","EAD category | I-765 c11 a12 c19 | Which work permit category","Use the category code matching your specific status. Re-parole = c11. TPS = a12 (initial) or c19 (pending). Wrong code = denial.","I-765 EAD category codes: c11 = parolees including U4U re-parole; a12 = TPS approved; c19 = TPS pending; c08 = asylum applicant pending; c09 = adjustment of status. The complete list is in 8 CFR 274a.12. Filing under wrong category typically results in denial. Consult Form I-765 instructions and your USCIS notices to confirm correct category. If unsure consult a licensed immigration attorney.",high,"https://www.uscis.gov/i-765|https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-274a/subpart-B/section-274a.12",wrong-ead-category-c11-vs-a12,
faq-020-receipt-vs-approval,case-status,"Does my receipt notice mean I'm approved?","Receipt notice meaning | Got receipt am I approved | Receipt protect me","No. Receipt = USCIS received your filing. Adjudication is separate. Whether your status is protected during processing depends on filing date vs prior expiration.","A USCIS receipt notice (Form I-797C) confirms USCIS received your application and assigns a case number. It does NOT mean your case is approved. Adjudication takes additional time — months typically. Whether your underlying status (parole TPS) is protected during processing depends on whether you filed BEFORE prior expiration. If you filed late prior status may have lapsed regardless of receipt. Verify your specific situation against USCIS guidance.",high,https://www.uscis.gov/forms/filing-fees/forms-and-fees,parole-expires-with-only-receipt,receipt-equals-approval
faq-021-find-attorney,legal,"How do I find an immigration attorney?","Free immigration lawyer | Find immigration attorney | Affordable lawyer","Use DOJ EOIR Recognized Organizations and Accredited Representatives Roster for free or low-cost legal help. State bar associations also list immigration attorneys.","Reliable resources: (1) DOJ EOIR Recognized Organizations and Accredited Representatives Roster — nonprofits authorized to provide free or low-cost legal services; (2) State bar association lawyer referral services; (3) Immigration Advocates Network legal services directory. Avoid 'notarios' or 'consultants' without bar credentials — unauthorized practice of law is illegal and harmful. If choosing a paid attorney verify bar admission with the state bar.",medium,https://www.justice.gov/eoir/recognized-organizations-and-accredited-representatives-roster,asylum-pro-se-denial-rate|sponsor-i864-affidavit-misuse,
faq-022-uscis-online-account,case-status,"Should I create a USCIS online account?","my.uscis.gov account | USCIS online portal | Digital account USCIS","Yes for most filings — provides faster updates electronic notices and ability to upload evidence. Create at my.uscis.gov.","my.uscis.gov is USCIS's online filing and case management system. Benefits: file certain forms electronically receive notices faster than paper mail upload evidence in response to RFEs message USCIS securely. Create one account per applicant. After filing online your case automatically links to your account. For paper filings you can sometimes link existing cases using your receipt number.",low,https://my.uscis.gov/,checking-status-online-vs-receipt,
faq-023-i131-which-purpose,re-parole,"What's the difference between Advance Parole and Reentry Permit?","I-131 purposes | Travel document types | Re-parole vs Advance Parole","Same form (I-131) different purposes. Advance Parole = travel for someone with pending case or temporary status. Reentry Permit = travel for green card holders. Re-parole = renewing parole status for U4U.","Form I-131 covers multiple travel/parole document types: (1) Re-parole — for U4U Ukrainian parolees seeking renewal of parole status; (2) Advance Parole — for someone with pending case or temporary status who needs to travel internationally; (3) Reentry Permit — for green card holders extended absence from US; (4) Refugee Travel Document — for refugees and asylees traveling internationally. Selecting the wrong purpose box = wrong document = travel issues. Read instructions carefully.",medium,https://www.uscis.gov/i-131,i131-travel-vs-reentry-confusion,
faq-024-denial-recovery,denial,"My case was denied what can I do?","USCIS denial options | Appeal USCIS | Refile after denial","Three main options: Motion to Reopen/Reconsider (within 30 days) Appeal (varies by form) Refile new application. Specific options depend on form and denial grounds.","Options after USCIS denial vary by form: (1) Motion to Reopen (new facts) or Motion to Reconsider (legal error) — Form I-290B within 30 days; (2) Appeal to Administrative Appeals Office (AAO) or Board of Immigration Appeals (BIA) — varies by form within 30 days; (3) Refile new application — sometimes simpler if grounds correctable; (4) Federal court review — limited circumstances. Each option has strict deadlines. Consult a licensed immigration attorney to evaluate best path.",critical,https://www.uscis.gov/i-290b,denial-no-explanation-letter|denial-without-rfe-direct,
faq-025-employer-i9-eadexpire,ead,"What if my employer asks about my expiring EAD?","I-9 reverification | Employer EAD question | Work authorization renewal","Provide proof of valid auto-extension if applicable (EAD card + USCIS notice) or new EAD when received. Federal Register notices can support I-9 verification.","When EAD approaches expiry employer must reverify work authorization on Form I-9. If you have automatic extension (some categories qualify): present current EAD + USCIS receipt notice for renewal application + reference to Federal Register notice authorizing auto-extension. If not eligible for auto-extension: present new EAD when received. If employment gap occurs employer typically must terminate until valid documents provided. Consult HR + immigration attorney early.",high,"https://www.uscis.gov/i-9-central|https://www.uscis.gov/working-in-the-united-states/temporary-workers/automatic-employment-authorization-document-extension",i9-employer-reverification-confusion|tps-ead-deadline-july-22-2026,tps-extension-equals-ead-extension
faq-026-tps-after-extension-ends,tps,"What happens to my application if TPS designation ends?","TPS termination effect | When TPS ends my case | Pending application TPS expired","Pending TPS-based applications (EAD AP) typically denied if underlying TPS terminates. Plan transition pathway before designation ends.","If TPS designation terminates pending TPS-based applications (EAD I-765 Advance Parole I-131 etc.) typically denied as no underlying status remains. Plan: (1) File transition application before TPS ends — asylum family employment-based or other; (2) Consult attorney on bridge options; (3) Be aware grace period (if any) provided by USCIS in termination notice. October 19 2026 is the current TPS Ukraine designation end date.",critical,https://www.uscis.gov/humanitarian/temporary-protected-status,tps-october-19-2026-no-renewal,
faq-027-form-edition-correct,forms,"How do I know if I'm using the correct form edition?","Old form rejected | Form edition date | Latest form version","Check the edition date in the upper-right corner of the form. Compare against current edition listed on the USCIS form page. USCIS rejects expired editions.","USCIS forms have edition dates printed on the form itself (typically upper-right corner). USCIS form pages list current acceptable editions and grace periods (if any) for older editions. Filing with an expired edition results in rejection. Always download the form fresh from USCIS the day you file. Save the PDF locally — instructions are part of the form.",medium,https://www.uscis.gov/forms,,
faq-028-evidence-not-original,documents,"Should I send original documents or copies?","Submit originals USCIS | Copy or original | Document submission","Generally send copies. USCIS specifies when originals are required (rare). Originals are not returned unless USCIS specifies.","USCIS generally requires legible copies of supporting documents — not originals. Some specific situations require originals (e.g. specific medical exam reports). Read form instructions carefully. Keep originals safely; USCIS does not return originals unless specifically required and requested. For foreign-language documents include translation + competence certification per 8 CFR 103.2(b)(3).",low,"https://www.uscis.gov/forms|https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-103/section-103.2",,
faq-029-multiple-applications-timing,filing,"Can I file multiple USCIS applications at once?","File together | Concurrent filing | Multiple forms same package","Yes — concurrent filing is common (e.g. I-131 + I-765 + I-912 + G-1145). Each form needs its own copy of supporting evidence unless instructions say shared evidence acceptable.","Concurrent filing is common practice — especially for U4U re-parole applicants filing I-131 + I-765 (EAD) + I-912 (fee waiver) + G-1145 (e-notification) together. Each form requires its own filing fee unless waived. Supporting evidence sometimes can be shared in one packet — check each form's instructions. Use proper packaging order: forms on top G-1145 attached evidence behind. Make a complete copy for your records before mailing.",medium,https://www.uscis.gov/forms,g1145-not-attached-to-package,
faq-030-uscis-error-on-notice,case-status,"My USCIS notice has wrong information what should I do?","Typo on USCIS notice | Wrong name on notice | Correct USCIS error","Submit a typographical correction request via your USCIS online account or USCIS Contact Center. Document the error with copies of correct documentation.","If a USCIS notice contains errors (wrong name DOB date) submit correction request through your online account or Contact Center. Provide: copy of incorrect notice copy of correct documentation showing right information clear explanation of error. USCIS issues corrected notices when error confirmed. Do NOT proceed with cases relying on incorrect notice information — discrepancies cause downstream issues.",medium,"https://my.uscis.gov/|https://www.uscis.gov/contactcenter",ead-card-name-mismatch,
